"","ID","pre","keyword","post"
"1","1598203154-625","avec le","café","dans les"
"2","1598202956-677","terrasse au","café","la Brûlerie"
"3","1598202956-947","sur son","café","brûlant ."
"4","1598202956-1203","terrasse du","café","Java U"
"5","1598203546-278","propriétaire du","café","Le Pub"
"6","1598165934-843","prendre un","café","ou faire"
"7","1598165934-1069",", au","café","Mozaïk ,"
"8","1598165934-1122","596-4422 .","Cafés","rencontres pour"
"9","1598165524-1442","prendre un","café","ou faire"
"10","1598165524-1617",", au","café","Mozaïk ,"
"11","1598165777-35","carburent au","café",", qui"
"12","1598165777-87","consommation de","café",", de"
"13","1600239870-350","pour le","café",", des"
"14","1598242577-1730","sarrêter au","café","étudiant.Cest ici"
"15","1598166218-2507","le Ketch","Café","organise le"
"16","1598203278-121",", le","café",", la"
"17","1598203278-313","production de","café","et de"
"18","1598203278-335","dont les","cafés","Maxwell House"
"19","1598165577-2074","prendre un","café","ou faire"
"20","1598165577-2250",", au","café","Mozaïk ,"
"21","1598165577-2303","596-4422 .","Cafés","rencontres pour"
"22","1600240475-166","moulin à","café","ou au"
"23","1598166390-55","Xavier.Café 18-30Le","café","18-30 ans"
"24","1598166390-81",", le","Café","invite les"
"25","1598166390-104","activités du","café",". Les"
"26","1598166390-353","Lafond .","Café",", jus"
"27","1598166165-1905","prendre un","café","ou faire"
"28","1598165749-429","présentée au","Café","Rico 969"
"29","1598166284-484",". Les","cafés","dantan et"
"30","1598166467-396","376-7464 .","Café","18-30Ce lundi"
"31","1598242618-3676","avec des","cafés",". Tiens"
"32","1598242618-3704","cappuccino ,","café","et ,"
"33","1598203416-636","et les","cafés","dorigine sont"
"34","1598166252-1047","939-9157 .","Café","rencontre sur"
"35","1598166252-1055","aura un","café","-rencontre gratuit"
"36","1598166252-2271","prendre un","café","ou faire"
"37","1598166092-9661","et le","café","sont gratuits.Informations"
"38","1598203807-201","mondiale du","café",". Difficile"
"39","1598203813-1101","pour le","café",". Même"
"40","1598166518-498",". .","Café","18-30 ansCe"
"41","1600239881-492","vita des","cafés","décontractés et"
"42","1598203238-187","et les","cafés","épaissis pour"
"43","1598242517-537","commandé du","café",", le"
"44","1598242908-8383","avec du","café",". Bien"
"45","1598242529-432","comptoir de","café",", on"
"46","1598242529-733",", du","café","ça en"
"47","1598242529-737","en prend.Le","café",", que"
"48","1598202837-626","pour le","café",", la"
"49","1598242848-400","résidus de","café",". Je"
"50","1598242848-416","avec du","café",". Bien"
"51","1598242848-671","résidus de","café",", sil"
"52","1598242848-2551","marc de","café","quutilise monsieur"
"53","1598242848-2610","marc de","café",". Et"
